latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
40.78858,-73.966095,45.0,0,GMT,GMT

time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-07-10T00:00,22.8,26.4,0.00,3,13500.00,6.5
2023-07-10T01:00,22.4,26.5,0.40,51,9300.00,4.6
2023-07-10T02:00,22.3,25.5,2.20,61,6300.00,11.5
2023-07-10T03:00,22.7,25.4,0.00,3,12200.00,15.3
2023-07-10T04:00,23.2,26.9,0.00,3,13200.00,7.8
2023-07-10T05:00,23.1,27.7,0.00,3,12800.00,2.5
2023-07-10T06:00,23.4,26.7,0.00,3,13600.00,10.8
2023-07-10T07:00,22.9,27.2,0.00,3,12200.00,5.2
2023-07-10T08:00,22.9,27.0,0.40,51,13100.00,4.2
2023-07-10T09:00,22.4,26.1,0.00,0,13100.00,5.6
2023-07-10T10:00,22.2,25.9,0.00,3,12300.00,6.2
2023-07-10T11:00,21.9,24.8,0.00,1,12800.00,9.2
2023-07-10T12:00,22.8,25.6,0.00,3,14100.00,11.1
2023-07-10T13:00,23.4,26.5,0.00,3,15500.00,9.3
2023-07-10T14:00,24.5,27.2,0.00,1,20000.00,8.9
2023-07-10T15:00,24.2,25.1,0.00,3,22200.00,17.3
2023-07-10T16:00,25.4,26.9,0.00,3,21600.00,18.2
2023-07-10T17:00,26.8,29.5,0.00,1,24000.00,13.3
2023-07-10T18:00,27.8,31.1,0.00,1,26100.00,15.9
2023-07-10T19:00,28.4,30.9,0.00,3,27300.00,14.6
2023-07-10T20:00,28.9,30.4,0.00,2,29800.00,16.0
2023-07-10T21:00,29.9,31.1,0.00,1,37100.00,13.7
2023-07-10T22:00,29.7,30.5,0.00,1,35100.00,16.5
2023-07-10T23:00,28.4,29.3,0.00,0,36400.00,12.6
2023-07-11T00:00,28.3,27.7,0.00,0,38800.00,16.6
2023-07-11T01:00,26.8,27.1,0.00,3,41400.00,8.4
2023-07-11T02:00,24.4,23.8,0.00,0,40700.00,10.1
