time,temperature_2m (°C),apparent_temperature (°C),precipitation (mm),weathercode (wmo code),visibility (m),windspeed_10m (km/h)
2023-06-26T00:00,25.2,27.5,0,1,19900,10.5
2023-06-26T01:00,23.5,26.9,0,0,16400,4.7
2023-06-26T02:00,22.3,25.2,0,0,14900,6.2
2023-06-26T03:00,21.2,24,0,3,12200,7.1
2023-06-26T04:00,21.4,24.4,0,3,12800,6
2023-06-26T05:00,20.9,24.3,0,3,12200,4
2023-06-26T06:00,20.9,24,0,2,12200,6.9
2023-06-26T07:00,20.9,24.1,0,2,12200,6.3
2023-06-26T08:00,20.5,23.8,0,2,12200,1.5
2023-06-26T09:00,20.2,23.2,0,3,12200,1.8
2023-06-26T10:00,20.6,23.7,0,3,12200,6
2023-06-26T11:00,21.5,24.5,0,2,12400,6.9
2023-06-26T12:00,22.5,25.3,0,3,13400,10.8
2023-06-26T13:00,23.7,26.7,0,2,16600,8.3
2023-06-26T14:00,25.2,27.7,0,3,19300,11.8
2023-06-26T15:00,22.7,26.4,0.4,51,10500,5.2
2023-06-26T16:00,23,26.5,0,2,3300,8.4
2023-06-26T17:00,25.6,29.4,0,3,18700,15.2
2023-06-26T18:00,25.3,31,0,2,17000,6.1
2023-06-26T19:00,26.4,30.3,0,3,21500,12
2023-06-26T20:00,26.3,29.4,0,1,17800,17
2023-06-26T21:00,26.5,28.1,0,3,19500,19.9
2023-06-26T22:00,23,25.7,0,3,14700,8.7
2023-06-26T23:00,22.1,24.2,0,3,15300,10.8
2023-06-27T00:00,21.7,23.5,0,3,15600,10.4
2023-06-27T01:00,20.8,22.6,0,2,15100,9.8
2023-06-27T02:00,21,22.2,0,3,15500,13.3
2023-06-27T03:00,21.4,23.5,0,3,13200,12.2
2023-06-27T04:00,20.8,24.3,0,3,12300,1.9
2023-06-27T05:00,20.8,22.7,0,3,12200,13.5
2023-06-27T06:00,20.2,23.6,0,2,2200,1.1
2023-06-27T07:00,19,21.3,0,1,12200,5.1
2023-06-27T08:00,18.6,20.1,0,0,12400,8.4
2023-06-27T09:00,18.4,19.9,0,0,12200,7.1
2023-06-27T10:00,18.3,20.7,0,2,12200,1.6
2023-06-27T11:00,19.7,22.1,0,1,12200,7.6
2023-06-27T12:00,20.6,23.5,0,3,13400,5.6
2023-06-27T13:00,20.4,23,0,3,12200,7.8
2023-06-27T14:00,21.7,24.6,0,3,13900,7.4
2023-06-27T15:00,21.1,22.4,0.4,51,3300,13.3
2023-06-27T16:00,22.1,26.1,4.3,63,9400,9.8
2023-06-27T17:00,21.6,24.7,0,3,13700,6.5
